,text,senti,Sentiment_Score
104,Glimpses from the cultural programme in Dhaka to mark fifty years of Bangladesh’s Independence and the birth centenary of Bangabandhu ,neutral,0
105,May the IndiaBangladesh friendship scale newer heights in the times to come ,positive,1
106,Celebrations of  years of Bangladesh’s Independence and India’s Amrit Mahotsav are taking place at roughly the same time The next  years will be crucial for both our nations ,neutral,0
107,Bangabandhu had a mesmerising personality and was blessed with an unwavering commitment to further human empowerment No wonder all sections of society were inspired by him ,positive,1
108,Speaking at the National Day programme of Bangladesh ,neutral,0
109,We have paid homage to the heroic martyrs of Bangladesh at the National Memorial Their struggles and sacrifices are inspiring They sacrificed their lives to uphold justice and to resist injustice ,positive,1
110,At the National Martyrs Memorial paid homage to the valorous martyrs of Bangladesh Their struggles and sacrifices are inspiring They devoted their life towards preserving righteousness and resisting injustice Also planted an Arjuna Tree sapling ,negative,-1
111,I reached Dhaka Thanks to Prime Minister Sheikh Hasina for giving a special welcome at the airport This visit will contribute to further strengthening our bilateral relations ,positive,1
112,Landed in Dhaka I thank PM Sheikh Hasina for the special welcome at the airport This visit will contribute to even stronger bilateral relations between our nations ,positive,1
113,‘Imagining a different South Asia with Bangabandhu’ Sharing my piece published in the  in which I pay tributes to Bangabandhu and recall his insightful thoughts on various subjects ,positive,1
114,Our partnership with Bangladesh is an important pillar of our Neighbourhood First policy and we are committed to further deepen and diversify it We will continue to support Bangladeshs remarkable development journey under Prime Minister Sheikh Hasinas dynamic leadership,positive,1
115,As I leave for Bangladesh tomorrow I look forward to remembering the life and ideals of Bangabandhu Sheikh Mujibur Rahman and celebrate  years of Bangladesh’s War of Liberation as well as our diplomatic ties ,positive,1
116,Across all regions of Assam one can see the support for NDA People have horrific memories of the corruption and violence during Congress rule NDA’s efforts to boost connectivity and infrastructure are getting huge support ,negative,-1
117,What we saw in Kanthi yesterday was a reflection of the prevailing mood across West Bengal People want BJP Enough of TMC’s politics of criminalisation The arm twisting by their cadres is not working any more BJP assures a rule oriented and people centric Government In WB ,positive,1
118,For us the interest of the great people of Assam the natives of Assam is paramount The people of Assam should get pucca houses there should be gas in every house water should come from tap in every house this is our priority ,positive,1
119,Even after decades of Congress rule only  big bridges were built in Assam But within  years of the NDA government many bridges in Assam including DholaSadiya Bogibeel Saraighat have started working today ,neutral,0
120,The double engine government of BJP NDA means  ,neutral,0
121,Congratulations to Shri Pratapsingh Rane Ji on this momentous feat of completing  years as MLA His passion for public service and Goa’s progress is reflected in his work I remember our interactions when we both served as Chief Ministers of our respective states ,positive,1
122,Sipajhar is firmly supporting the NDA Watch my address ,positive,1
123,Our dream  Shonar Bangla Our resolution  Shonar Bangla Our principle  Shonar Bangla ,positive,1
124,Bengal needs peace Bengal needs stability Bengal needs freedom from bombs and violence and this will be done by the BJP ,positive,1
125,Didi Bohiragoto is talking about the Bengal from which Gurudeva tied every Indian in a garland In the BJP government that you are going to form in Bengal the responsibility of the Chief Minister will be of the children of this soil from this land of Bengal ,neutral,0
126,The development of the people of Bengal is the commitment of the BJP the resolution of the BJP I congratulate the Bengal BJP team for listening to the voice of the people understanding their plight and making a resolution for a bright future for Bengal ,positive,1
127,Across Assam people support the double engine NDA government Watch from Bihpuria ,positive,1
128,Whenever you get the opportunity do visit Jammu and Kashmir and witness the scenic Tulip festival In addition to the tulips you will experience the warm hospitality of the people of Jammu and Kashmir ,positive,1
129,Tomorrow th March is special for Jammu and Kashmir A majestic tulip garden on the foothills of the Zabarwan Mountains will open for visitors The Garden will see over  lakh flowers of more than  varieties in bloom ,positive,1
130,Record support for BJP at Kanthi Watch my speech ,positive,1
131,India is at the forefront of initiatives that seek to prevent noncommunicable diseases and further wellness Grateful to  for their kind words Together we all have to make our planet healthier ,positive,1
132,Our Party is honoured to have got the opportunity to serve Assam There has been significant progress in the state over the last five years Building on that we want to scale newer heights of progress Our Manifesto showcases the vision for Assam’s growth ,positive,1
133,Birthday greetings to Union Minister  Ji She is making noteworthy efforts to transform the vital textiles sector and further women empowerment May she lead a long and healthy life,positive,1
134,The great freedom fighter and socialist thinker Dr Tribute to Ram Manohar Lohia ji on his birthday He worked to give a new direction to the country with his intense and progressive ideas His contribution to the nation will continue to inspire the countrymen,positive,1
135,Hundreds of salutations to Amar Shaheed Veer Bhagat Singh Sukhdev and Rajguru on the day of martyrdom The sacrifice of these great grandsons of Maa Bharti will remain a source of inspiration for every generation of the country Jai Hind ShaheedDiwas ,positive,1
136,An extensive document which highlights BJP’s vision for Tamil Nadu’s progress empowering the poor and celebrating the vibrant Tamil culture ThamaraiyinTholaiNoakku ,positive,1
137,Thank you Goa for the continuous support to BJP The results of the Municipal Elections  show the people’s appreciation towards our Party’s development agenda I laud all hardworking BJP Karyakartas who went among people and worked hard during the campaign,positive,1
138,I will never forget yesterday’s rally in Bankura West Bengal is giving a very clear message BJP is the state’s preferred choice West Bengal has had enough of TMC’s harassment ,positive,1
139,Assam wants the double engine of NDA Governments in the Centre and the state People are seeing the benefits of it and hence support our good governance agenda Sharing highlights from the Bokakhat rally yesterday ,positive,1
140,Bangabandhus vision continues to light the IndiaBangladesh friendship I had the privilege of honouring his memory during my previous Bangladesh visit and will again pay homage to him alongside PM Hasina during the MujibBorsho celebrations  ,positive,1
141,Gandhi Peace Prize  has been conferred on Bangabandhu Sheikh Mujibur Rahman one of the greatest leaders of our subcontinent Year  marked the birth centenary of Bangabandhu He remains an icon of indomitable courage and tireless struggle for his millions of admirers,positive,1
142,His Majesty Sultan Qaboos bin Said was a strong advocate of IndiaOman friendship and took special care of the welfare of the Indian community in Oman I cherished my interactions with His Majesty and benefited from his wise insights on many subjects  ,positive,1
143,The Gandhi Peace Prize  being conferred on His Late Majesty Sultan Qaboos bin Said Al Said of Oman is a fitting recognition of His Majestys standing as a leader of remarkable compassion and of his contributions to furthering peace and prosperity in the region,positive,1
144,Launching Catch the Rain movement on WorldWaterDay ,neutral,0
145,BJP’s SonarBanglaSonkolpoPotro offers a comprehensive vision of our Party’s agenda for transforming West Bengal It addresses various aspects of good governance Would urge you all to have a look at it… ,positive,1
146,Tomorrow on World Water Day a historic MoA for the Ken Betwa Link Project would be signed This is a futuristic project that will particularly help the people of Bundelkhand ,positive,1
147,Tomorrow on World Water Day the Catch the Rain’ Movement would be launched at  PM This movement will take place across India based on the theme of catch the rain where it falls when it falls’ It will strengthen water conservation efforts happening in our country,positive,1
148,The people of Bengal have to exercise their right to vote without fear without hesitation This time loud impression lotus impression  ,positive,1
149,I will tell my young colleagues the First Time Voters who are going to vote in the Bengal elections this time ,neutral,0
150,The BJP has also fielded experienced candidates in West Bengal and given opportunities to new candidates Young energy and experience together will move towards Sonar Bangla forming a double engine government ,positive,1
151,The central government is running a campaign to supply water to every house through pipes We have given hundreds of crores of rupees to the Bengal government But the sisters and daughters here are worried about dripping water Why is the farmer here forced to grow only one crop in a year ,negative,-1
152,The people of Bengal have decided  ,neutral,0
153,Moments before the Bankura rally Humbled by the enthusiasm ,positive,1
154,Thank you Bankura for the affection Watch my speech at the rally ,positive,1
155,With the NDA government at the center and in the state the power of the double engine is rapidly advancing Assam Now the speed of infrastructure is also double because the state government is also engaged in development and so is the central government ,positive,1
156,Our government changed the law made on bamboo during the British rule which has greatly benefited the people farmers and entrepreneurs involved in bamboo craft in Assam ,neutral,0
157,Today we are also developing the countrys river waterways as corridors of Indias economic prosperity Of these work is also underway on very large river waterways in Assam ,neutral,0
158,Today during the tenure of the NDA Assam is moving forward to reach new heights with all its might During the tenure of NDA peace has been established in Assam today stability has come ,positive,1
159,Speaking in Bokakhat Overwhelming support for NDA ,positive,1
160,The people of West Bengal have given Congress Left and TMC  years But these parties didn’t fulfil people’s aspirations Presently TMC is breaking all previous records of harassment and corruption Sharing highlights from Kharagpur Will be in Bankura later today ,positive,1
161,Today I would be addressing a rally at Bokakhat The people of Assam have decided that they will bless NDA in the upcoming polls Here are highlights from Chabua yesterday ,positive,1
162,Best wishes to Prime Minister  for a speedy recovery from COVID,positive,1
163,The BJPled Assam government has taken important steps to develop the entire region as a major center of higher education ,positive,1
164,Increasing the pride of Assam development of every region every section of Assam is the priority of BJP The culture of Assam our pride does not come under fire this is our commitment ,positive,1
165,The countrys oldest party the Congress which has ruled for  years is today openly supporting those who have erased the identity of Indias tea The people of the whole of India including Assam will never forgive the tampering with the tea of ​​Assam the respect of Assam and the millions of Tea Workers here ,positive,1
166,Addressing a huge rally in Chabua ,positive,1
167,On the one hand the country is constantly moving towards a single window system so that the businessman the entrepreneur does not have to wander here and there But West Bengal has a different type of single window system the countrymen are not aware of it right now This is a single window  nephew window ,positive,1
168,Today the people of West Bengal are demanding an account of ten years from Didi but instead of answering they are torturing her ,negative,-1
169,I trust the youth of Bengal mothers and sisters Dalits tribals backwards and the poor ,positive,1
170,We not only want to feed the lotus in Bengal but also make the future of the people of Bengal brightWhen both the engines with the strength of Delhi and the strength of Bengal will run in one direction then Bengal will come out of ruin ,positive,1
171,Navroz Mubarak Praying for a year filled with happiness wonderful health and prosperity for everyone,positive,1
172,West Bengal supports BJP Watch from Kharagpur ,positive,1
173,Looking forward to being among my sisters and brothers of Assam tomorrow and the day after ,neutral,0
174,Pleasure to meet US  Lloyd Austin today Conveyed my best wishes to   India and US are committed to our strategic partnership that is a force for global good ,positive,1
175,Will be in Assam and West Bengal tomorrow and the day after Tomorrow th March I would be speaking at rallies in Kharagpur WB and Chabua Assam Will elaborate on BJP’s development agenda during my speeches It is clear both states want to elect NDA in the upcoming polls,positive,1
176,BJP winning in West Bengal would mark the start of a new era of development in the state At the same time bullying by TMC cadres will stop Sharing highlights from Purulia ,positive,1
177,For decades Congress ignored the Northeast Since  the NDA Government focussed on connectivity and social empowerment Thank you Karimganj for the affection ,positive,1
178,Memorable moments from Purulia ,neutral,0
179,Heartiest congratulations to my friend  for leading his party to be the largest in the Parliamentary elections in the Netherlands I look forward to working with the new Government of the Netherlands to further deepen our multifaceted and broadbased cooperation,positive,1
180,In Assam the Congress workers have been fighting the politics of the people for decades today the hand of the Congress is moving with the same lock and key ,positive,1
181,Today the poorest of the poor are getting the benefit of government schemes without any discrimination Under Ayushman Bharat Yojana more than one and a half lakh patients have received free treatment in Assam Work is underway on mission mode to supply water to the sisters of Barak Valley including Karimganj through pipes in the house ,negative,-1
182,Whether it is air route rail route or highway we are strengthening the connectivity of Assam with other parts of India in every way More than that we have made another connection which is impossible to break This is the connection of the heart with the powerful and talented people of Assam ,positive,1
183,Delighted to be in Karimganj Watch my speech ,positive,1
184,We all have to build the Sonar Bangla together where  ,neutral,0
185,The policy of the BJP is the central governments policy  DBT  that is direct benefit transfer Didi Sarkars corruption in West Bengal is TMC ie Transfer My Commission ,positive,1
186,West Bengal can make progress only when the Dalitbackward tribalforest dwellers all the partners come together in the development process In the last  years the biggest loss of cut commission and tolabaji culture has been to the poor of Bengal the Dalits of Bengal the deprived of Bengal the tribals of Bengal ,negative,-1
187,The people of Bengal have been saying for a long time  TMC half in the Lok Sabha and this time completely clear ,positive,1
188,I assure the people of the entire Jangalmahal area that after the formation of the BJP government in Bengal your water problems will be addressed with priority When a double engine government is formed one for Delhi and the other for Bengal then there will be development and your life will be easier ,positive,1
189,Euphoric atmosphere in Purulia Watch ,positive,1
190,Greetings to Union Minister Shri  Ji on his birthday He is an experienced leader who has worked to strengthen our Party at the grassroots He’s at the forefront of ensuring growth of the important chemicals and fertilisers sectors Praying for his long life,positive,1
191,Tomorrow March  I am happy to have the opportunity to be present among my brothers and sisters in West Bengal I will address a public meeting in Purulia Across West Bengal there is a desire for change The BJPs good governance program has created a melody among the people,positive,1
192,Kailai I will be in Assam on March  You are eagerly waiting for the people of this great state to be present during the Karimganj rally In the last  years Assam has witnessed a lot of positive changes in different parts of the country,positive,1
193,Will be in Assam tomorrow th March Looking forward to being among the people of this great state during the rally in Karimganj Assam has witnessed positive changes across various sectors over the last  years NDA seeks people’s blessings to continue the development agenda,positive,1
194,Glad to be getting the opportunity to be among my sisters and brothers of West Bengal tomorrow th March I would be addressing a rally in Purulia Across West Bengal there is a desire for change BJP’s agenda of good governance is striking a chord among the people,positive,1
195,Addressing the International Conference on Disaster Resilient Infrastructure ,negative,-1
196,Speaking at the interaction with Chief Ministers ,neutral,0
197,At around  PM this afternoon will be speaking at the International Conference on Disaster Resilient Infrastructure This is an important conference which will deliberate on a subject that is of great concern for the entire humanity,positive,1
198,Shri Ram Swaroop Sharma was a dedicated leader who was always committed to solving people’s problems He worked tirelessly for the betterment of society Pained by his untimely and unfortunate demise My thoughts are with his family and supporters in this sad hour Om Shanti,negative,-1
199,Saddened by the demise of former MP and Minister Shri Dilip Gandhi Ji He will be remembered for his rich contributions to community service and helping the poor He made numerous efforts to strengthen the BJP in Maharashtra Condolences to his family and supporters Om Shanti,positive,1
200,My heartfelt homage to Bangabandhu Sheikh Mujibur Rahman a champion of human rights and freedom on his birth anniversary He is a hero for all Indians too It will be my honour to visit Bangladesh later this month for the historic MujibBorsho celebrations,positive,1
201,Excellent Statue of Unity in Kevadia is a must visit Do plan a trip there whenever you can ,positive,1
202,Glad to have met  Mr Duarte Pacheco We spoke on a wide range of issues Also heard his insightful views during his address to MPs earlier today ,positive,1
203,Had a fruitful Virtual Summit with PM of Finland  We discussed a broad spectrum of issues and reaffirmed our commitment to further deepening IndiaFinland partnership I invited Finland to partner us in our journey of sustainable development,positive,1
204,Spoke to my friend  We reviewed the Covid situation and stressed the importance of concerted global action to tackle the pandemic We also discussed our wideranging bilateral cooperation and the ambitious agenda for the forthcoming IndiaEU Leaders’ Meeting,positive,1
205,Speaking at the IndiaFinland Virtual Summit ,neutral,0
206,Was delighted to receive a copy of the book ‘Chandraprabha The Iron Lady of Assam’ penned by Shri Hiranya Borah The book chronicles the life of the great Chandraprabha Saikiani who made noteworthy contributions towards Assam’s progress social reform and empowerment of women ,positive,1
207,Saddened by the demise of Kathakali maestro Guru Chemancheri Kunhiraman Nair His passion towards Indian culture and spirituality was legendary He made exceptional efforts to groom upcoming talent in our classical dances My thoughts are with his family and admirers Om Shanti,positive,1
208,As the Quad works towards a free open secure inclusive and prosperous IndoPacific   PM  PM  and I write about our shared vision ,positive,1
209,th Marchthis year’s third MannKiBaat and yet another opportunity to highlight interesting topics and inspiring life journeys from across India Post your views on MyGov or the NaMo App or record your message  ,positive,1
210,Had a telephone conversation with President  We discussed issues relevant to our bilateral and multilateral cooperation including in the context of COVID,neutral,0
211,Our discussions today on vaccines climate change and emerging technologies make the Quad a positive force for global good and for peace stability and prosperity in the IndoPacific,positive,1
212,United in our fight against COVID we launched a landmark Quad partnership to ensure accessibility of safe COVID vaccines India’s formidable vaccine production capacity will be expanded with support from Japan US amp Australia to assist countries in the IndoPacific region,positive,1
213,Had fruitful discussions with   PM  and PM  at the st Quad Summit Reiterated India’s commitment to a free open and inclusive IndoPacific in line with our vision of SAGAR  Security and Growth for All in the Region,positive,1
214,This is the right time to think about Ayurveda and Aahaar foods that are healthy and further wellness One such effort was made at the UN a few days ago ,positive,1
215,Ayurveda products our traditional medicines spices and food items are gaining global popularity ,positive,1
216,India is the ideal place for wellness tourism and at the root of wellness tourism is Ayurveda and traditional medicines ,positive,1
217,Speaking at the Global Ayurveda Festival ,positive,1
218,Speaking at the First Quad Leaders’ Virtual Summit ,neutral,0
219,On his birth anniversary I pay my respects to Ayya Vaikunda Swamikal a great thinker and social reformer of the th century His teachings helped society overcome social barriers and united people His emphasis on equality continues to inspire us,positive,1
220,This evening will be taking part in the First Quad Leaders’ Virtual Summit with   PM  and PM  The Summit will provide an opportunity to discuss a wide range of regional and global issues of shared interest,positive,1
221,At around  PM this evening will address the Global Ayurveda Festival This Festival is a commendable effort to further popularise Ayurveda and traditional forms of medicine,positive,1
222,When  crore countrymen join this nectar festival of independence inspired by millions of freedom fighters India will continue to achieve the greatest goals If every Hindustani takes one step for the country and society then the country goes  crore steps forward AmritMahotsav ,positive,1
223,Today India has the power of vaccine so with the spirit of Vasudhaiva Kutumbakam we are all working to alleviate the suffering This is the ideal of India this is the eternal philosophy of India this is also the philosophy of selfreliant India AmritMahotsav ,positive,1
224,The history of the heroic grandsons of Maa Bharti is in every corner of the country in every village The country has been making conscious efforts for the last six years to save this pride of history AmritMahotsav ,positive,1
225,There are so many fighters saintly souls heroic sacrifices in the innumerable freedom movements whose saga is a golden chapter of history in itself We also have to convey the lifehistory of these great heroes to the country AmritMahotsav ,positive,1
226,Amrit Mahotsav has been launched on the day of Dandi Yatra It is a wonderful coincidence that the effect and message of Dandi Yatra is the same which the country is moving forward through Amrit Mahotsav today AmritMahotsav ,positive,1
227,The sentence of our Vedas is  Mrityo Mukshiya Mamritat That is let us get out of sorrow suffering tribulation and destruction and move towards nectar move towards immortality The same is the resolution of the nectar festival of independence AmritMahotsav ,negative,-1
228,Addressing the programme to mark the start of Azadi Ka AmritMahotsav related activities ,neutral,0
